,Description,Price,Rating,ReviewCount,Url,Image src,Website_Name
22,Flavours of Calicut Kerala Banana Chips - 400g,₹299,4.2 out of 5 stars,902,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02314411YP5UOUICZ03U&url=%2FFlavours-Calicut-Kerala-Banana-Chips%2Fdp%2FB077X2DQ2F%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbanana%26qid%3D1655185166%26sr%3D8-2-spons%26psc%3D1%26smid%3DA1TJKIXEECUT9U&qualifier=1655185166&id=8988971638110936&widgetName=sp_atf,https://m.media-amazon.com/images/I/61pXd0TwKfL._AC_UL320_.jpg,Amazon
23,"HOLYFRUITS Blueberry Banana and Walnut Granola | Breakfast Granola | Gluten Free | Over 30% Fruits, Nuts and Seeds | Oven Baked (500g)",₹599,3.7 out of 5 stars,7,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07978143U7NJ8PLPCECJ&url=%2FHOLYFRUITS-Blueberry-Banana-Granola-Breakfast%2Fdp%2FB09MV2FNC3%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dbanana%26qid%3D1655185166%26sr%3D8-3-spons%26psc%3D1&qualifier=1655185166&id=8988971638110936&widgetName=sp_atf,https://m.media-amazon.com/images/I/71F7cPKXRxL._AC_UL320_.jpg,Amazon
24,"Orchard Lane 80% Fruit Jam - Banana Date & Vanilla Jam, No Chemicals -280 GMS",₹299,3.8 out of 5 stars,204,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00730982VX4N2R0W7TDG&url=%2FOrchard-Lane-Banana-Date-Vanilla%2Fdp%2FB07G3CB87Q%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dbanana%26qid%3D1655185166%26sr%3D8-4-spons%26psc%3D1&qualifier=1655185166&id=8988971638110936&widgetName=sp_atf,https://m.media-amazon.com/images/I/71erDe0iCjS._AC_UL320_.jpg,Amazon
26,"Beyond Snáck Kerala Banana Chips | 3 Pack Combo, 300g| Original Style, Peri Peri, Sour Cream Onion & Parsley (3X100g)",₹229,3.8 out of 5 stars,"1,827",http://www.amazon.in/Beyond-Sn%C3%A1ck-Automated-3-Flavours-Original/dp/B084Q8D86V/ref=sr_1_6?keywords=banana&qid=1655185166&sr=8-6,https://m.media-amazon.com/images/I/81EdhLjCRBL._AC_UL320_.jpg,Amazon
28,"Beyond Snáck Kerala Banana Chips Healthy & Delicious Snacks- 3 Flavours- 450g (Original Style, Peri Peri and Sour Cream Onion Parsley)",₹269,3.9 out of 5 stars,716,http://www.amazon.in/Beyond-Sn%C3%A1ck-Delicious-Flavours-Original/dp/B088BYMFBP/ref=sr_1_8?keywords=banana&qid=1655185166&sr=8-8,https://m.media-amazon.com/images/I/81EdhLjCRBL._AC_UL320_.jpg,Amazon
29,"Beyond Snáck Kerala Banana Chips, No Hand Touch, Fully Automated- Original Style 300 g Pack of 3 (100g X 3)",₹229,3.7 out of 5 stars,527,http://www.amazon.in/Beyond-Sn%C3%A1ck-Kerala-Automated-Original/dp/B084Q2TVYF/ref=sr_1_9?keywords=banana&qid=1655185166&sr=8-9,https://m.media-amazon.com/images/I/81VDN74kkXL._AC_UL320_.jpg,Amazon
30,Manna Banana Powder 200g | Baby Food | Kannankaya Powder,₹179,4.0 out of 5 stars,501,http://www.amazon.in/Manna-Banana-Powder-200Gm/dp/B01FFSGA1O/ref=sr_1_10?keywords=banana&qid=1655185166&sr=8-10,https://m.media-amazon.com/images/I/81Gtr6BkO-L._AC_UL320_.jpg,Amazon
31,"Beyond Snáck Kerala Banana Chips - Pack of 4 Combo (400gms) - Original Style, Peri Peri, Sour Cream Onion & Parsley and Salt and Pepper ( 4 x 100 g ) Chips",₹288,3.6 out of 5 stars,104,http://www.amazon.in/Beyond-Sn%C3%A1ck-Kerala-Banana-Chips/dp/B09SB6PFMD/ref=sr_1_11?keywords=banana&qid=1655185166&sr=8-11,https://m.media-amazon.com/images/I/81-qIIJoR6L._AC_UL320_.jpg,Amazon
32,"Beyond Snáck - Beyond Snack Kerala Banana Chips, No Hand Touch, Fully Automated- 2 Original Style & 1 Sour Cream Onion Parsley , Pack of 3 (100 Grams Each)",₹229,3.9 out of 5 stars,204,http://www.amazon.in/Beyond-Sn%C3%A1ck-Automated-Original-Parsley/dp/B085XLSXXY/ref=sr_1_12?keywords=banana&qid=1655185166&sr=8-12,https://m.media-amazon.com/images/I/81-kh1xOTCL._AC_UL320_.jpg,Amazon
33,"Beyond Snáck Kerala Banana Chips, No Hand Touch, Fully Automated - Peri Peri Flavour Pack of 3 (100 Grams Each)",₹216,4.0 out of 5 stars,148,http://www.amazon.in/Beyond-Sn%C3%A1ck-Kerala-Banana-Automated/dp/B084PZ3ZS8/ref=sr_1_13?keywords=banana&qid=1655185166&sr=8-13,https://m.media-amazon.com/images/I/81Wc+wihn8L._AC_UL320_.jpg,Amazon
34,"Kokos Natural Natirèl Raw Banana Flour, 500 g",₹195,4.1 out of 5 stars,257,http://www.amazon.in/Kokos-Natural-Natir%C3%A8l-Banana-Flour/dp/B01I4QFL7S/ref=sr_1_14?keywords=banana&qid=1655185166&sr=8-14,https://m.media-amazon.com/images/I/61Y3VKS2htL._AC_UL320_.jpg,Amazon
35,"Flavours of Calicut Kerala Banana Chips, 1 kg (Pack of 2 x 500g)",₹569,4.3 out of 5 stars,"4,539",http://www.amazon.in/Flavours-Calicut-Kerala-Banana-Chips/dp/B07D4SFQF5/ref=sr_1_15?keywords=banana&qid=1655185166&sr=8-15,https://m.media-amazon.com/images/I/61lCDF2ZsZS._AC_UL320_.jpg,Amazon
36,"Beyond Snáck - Beyond Snack Kerala Banana Chips, No Hand Touch, Fully Automated- 2 Peri Peri & 1 Original Style, Pack of 3 (100 Grams Each)",₹229,3.7 out of 5 stars,232,http://www.amazon.in/Beyond-Sn%C3%A1ck-Kerala-Automated-Original/dp/B085XZB8MB/ref=sr_1_16?keywords=banana&qid=1655185166&sr=8-16,https://m.media-amazon.com/images/I/91le-azEA6L._AC_UL320_.jpg,Amazon
